area,year,measurement,units,value,region_of_residence,breakdown_of_domestic_tourism
Scottish Borders,2009-2011,Count,Thousand Nights,1203,All of GB,Nights
Scottish Borders,2009-2011,Count,million pounds (GBP),71,All of GB,Expenditure
Scottish Borders,2014-2016,Count,Thousand Nights,284,Scotland,Nights
Scottish Borders,2009-2011,Count,Thousand Visits,209,England,Visits
Scottish Borders,2016-2018,Count,million pounds (GBP),55,All of GB,Expenditure
Scottish Borders,2012-2014,Count,million pounds (GBP),69,All of GB,Expenditure
Scottish Borders,2013-2015,Count,Thousand Nights,1147,All of GB,Nights
Scottish Borders,2015-2017,Count,million pounds (GBP),33,England,Expenditure
Scottish Borders,2009-2011,Count,Thousand Visits,194,Scotland,Visits
Scottish Borders,2013-2015,Count,million pounds (GBP),73,All of GB,Expenditure
Scottish Borders,2014-2016,Count,Thousand Visits,118,Scotland,Visits
